"Qty";"Value";"Device";"Package";"Parts";"Description";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MOUSER_TESTING_PART_NUMBER";"MOUSER_TESTING_PRICE-STOCK";"POPULARITY";"SPICEPREFIX";
"2";"";"PINHD-1X2";"1X02";"CAN, VBAT";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"98";"";
"1";"";"PINHD-1X6";"1X06";"UART/I2C";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"79";"";
"6";"0.1uF";"C-EUC0603";"C0603";"C2, C3, C8, C9, C10, C11";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"100nF";"C-EUC0603";"C0603";"C5";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"10k";"R-EU_R0603";"R0603";"R1";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"70";"R";
"1";"10uF";"C-EUC0603";"C0603";"C6";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"13k";"R-EU_R0603";"R0603";"R3";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"70";"R";
"3";"150060GS75000";"150060GS75000";"LEDC1608X80N";"3V3, LED, VIN";"Wurth Elektronik WL-SMCW 520 nm Green LED, 1608 (0603) Clear SMD package";"";"";"Wurth Elektronik WL-SMCW 520 nm Green LED, 1608 (0603) Clear SMD package";"0.8mm";"Wurth Elektronik";"150060GS75000";"710-150060GS75000";"https://www.mouser.co.uk/ProductDetail/Wurth-Elektronik/150060GS75000?qs=LlUlMxKIyB0UYkq5lDO8nA%3D%3D";"";"";"";"";
"1";"1k";"R-EU_R0603";"R0603";"R9";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"70";"R";
"1";"20uF";"C-EUC0603";"C0603";"C1";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";
